Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
541,Romell Quioto\Romell-Quioto,hn HON,FW,CF Montréal,30-028,1991,8.1,0,0,0,0,0,0,0,,0,7.9,1.23,15.6,0.25,4.07,3.58,0.37,0,0,0.37,0.25,0.25,0,0,Matches
544,Christian Ramirez\Christian-Ramirez,us USA,FW,Houston Dynamo,30-155,1991,1,0,0,0,0,0,0,0,,0,31,4,12.9,3,19,9,0,0,0,0,1,1,4,0,Matches
550,Justin Rennicks\Justin-Rennicks,us USA,FW,New England,22-170,1999,0,0,0,0,0,0,0,0,,0,2,1,50,0,2,0,0,0,0,0,0,0,0,0,Matches
556,Tosaint Ricketts\Tosaint-Ricketts,ca CAN,FW,Vancouver,34-031,1987,1.4,0.71,0.71,0,0.71,0,0,1.43,0,1.43,27.1,7.86,28.9,1.43,10.7,15,0.71,0,0,0.71,0.71,1.43,0,0,Matches
577,Diego Rossi\Diego-Rossi,uy URU,FW,Los Angeles FC,23-185,1998,18.4,0.33,0.33,0.05,0.05,0.22,0.11,0.98,11.1,0.87,19,4.84,25.4,1.9,7.23,9.89,0.49,0.05,0,0.43,0.54,0.87,0.6,0,Matches
581,Rubio Rubin\Rubio-Rubin,us USA,FW,Real Salt Lake,25-189,1996,16.8,0.36,0.18,0.12,0.06,0.18,0.12,0.24,50,0.12,13.3,4.05,30.4,0.48,4.88,7.98,0.3,0.12,0,0.18,0.18,0.54,0.36,0,Matches
582,Diego Rubio\Diego-Rubio,cl CHI,FW,Colorado Rapids,28-114,1993,12.8,1.33,0.94,0.23,0.7,0.39,0.55,1.02,53.8,0.47,15.2,3.05,20,0.94,7.58,6.72,1.09,0.31,0,0.78,0.55,1.88,0.47,0,Matches
583,Raúl Ruidíaz\Raul-Ruidiaz,pe PER,FW,Seattle,31-043,1990,20.7,0.19,0.1,0.1,0.05,0.05,0,0.39,0,0.39,13.1,3,22.8,1.16,5.02,6.96,0.48,0.05,0,0.43,0.29,0.48,0.1,0,Matches
586,Johnny Russell\Johnny-Russell,sct SCO,FW,Sporting KC,31-151,1990,14.8,1.08,0.54,0.34,0.34,0.41,0.41,1.76,23.1,1.35,15.9,3.51,22,2.3,6.49,7.16,1.01,0.14,0,0.88,0.74,1.82,0.34,0,Matches
588,Dániel Sallói\Daniel-Salloi,hu HUN,FW,Sporting KC,25-049,1996,19.1,0.68,0.58,0.31,0.21,0.16,0.1,0.52,20,0.42,16.4,4.08,24.9,2.57,5.81,8.01,0.84,0.05,0,0.79,0.94,1.62,0.16,0,Matches
591,Sergio Santos Gomes\Sergio-Santos-Gomes,br BRA,FW,Philadelphia,27-002,1994,11.7,1.03,0.85,0.09,0.77,0.17,0.17,0.68,25,0.51,20.7,5.04,24.4,1.62,7.01,12.1,0.94,0.17,0,0.77,0.34,1.37,0.34,0.09,Matches
593,C.J. Sapong\CJ-Sapong,us USA,FW,Nashville,32-253,1988,15.3,0.52,0.26,0,0.2,0.33,0,0.65,0,0.65,14,3.01,21.5,0.59,6.73,6.67,0.33,0,0,0.33,0.72,1.24,0.13,0,Matches
595,Szabolcs Schön\Szabolcs-Schon,hu HUN,FW,FC Dallas,20-344,2000,7.3,2.74,1.37,1.37,0.68,0.68,0.68,3.29,20.8,2.6,20,4.38,21.9,6.3,7.26,6.44,1.23,0,0,1.23,0.82,3.56,0.55,0,Matches
616,Kimarni Smith\Kimarni-Smith,eng ENG,FW,D.C. United,23-176,1998,1.1,1.82,1.82,0,0.91,0.91,0,0.91,0,0.91,21.8,8.18,37.5,0,6.36,15.5,0.91,0,0,0.91,0,1.82,0,0,Matches
618,Erik Sorga\Erik-Sorga,ee EST,FW,D.C. United,22-060,1999,2.8,0.36,0,0,0,0.36,0.36,0.36,100,0,22.1,5,22.6,1.07,8.21,12.9,0,0,0,0,0.36,0.71,0.71,0,Matches
620,Yeferson Soteldo\Yeferson-Soteldo,ve VEN,FW,Toronto FC,24-068,1997,13.4,0.6,0.45,0.15,0.3,0.15,0.07,1.19,6.3,1.12,13.1,3.36,25.6,2.39,5,5.75,0.52,0.07,0,0.45,0.82,1.42,0.15,0,Matches
639,Thiago\Thiago,br BRA,FW,NYCFC,20-310,2000,6.1,2.13,0.82,0.98,0.66,0.49,0.66,1.31,50,0.66,19.5,3.77,19.3,3.93,9.02,6.56,1.15,0,0,1.15,0.49,2.62,0.16,0,Matches
645,Erick Torres\Erick-Torres,mx MEX,FW,Atlanta Utd,28-230,1993,6.1,1.64,1.48,0.49,0.98,0.16,0.98,2.3,42.9,1.31,18.2,6.23,34.2,1.64,8.52,8.03,1.48,0.16,0,1.31,0.16,1.8,1.31,0,Matches
